"Nombre","Puntuacion","Precio","fecha"
"Medplaya Hotel Calypso","7,7","€ 69","5"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","5"
"Hotel Oasis Park","7,5","€ 53","5"
"Hotel Cala Font","7,9","€ 77","5"
"Aparthotel SunClub Salou","8,0","€ 63","5"
"Hotel Raval de la Mar","8,2","€ 61","5"
"Ohtels Vil·la Romana","8,2","€ 81","5"
"Tarraco Park Tarragona","7,9","€ 87","6"
"Hotel SB Ciutat de Tarragona","7,6","€ 133","6"
"H10 Imperial Tarraco 4* Sup","8,9","€ 273","6"
"Astari","8,3","€ 90","6"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 63","6"
"Hotel Sant Jordi","8,6","€ 70","6"
"Hotel Lauria","7,7","€ 85","6"
"Hotel SB Express Tarragona","8,3","€ 81","6"
"Nuria","8,1","€ 79","6"
"Hotel Canadá","8,0","€ 76","6"
"Hotel Best Terramarina","8,3","€ 57","6"
"Hotel Mas La Boella","9,1","€ 199","6"
"Palas Pineda","7,8","€ 68","6"
"Estival Park","8,0","€ 69","6"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 131","6"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","6"
"Mercure Atenea Aventura","8,0","€ 62","6"
"Hotel Raval de la Mar","8,2","€ 61","6"
"Ohtels Vil·la Romana","8,2","€ 81","6"
"Medplaya Hotel Calypso","7,7","€ 69","6"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","6"
"Hotel Oasis Park","7,5","€ 53","6"
"Hotel Cala Font","7,9","€ 77","6"
"Aparthotel SunClub Salou","8,0","€ 63","6"
"Golden Avenida Family Suites 4*","8,5","€ 103","6"
"AC Hotel Tarragona by Marriott","8,4","€ 92","7"
"Tarraco Park Tarragona","7,9","€ 87","7"
"Hotel SB Ciutat de Tarragona","7,6","€ 133","7"
"H10 Imperial Tarraco 4* Sup","8,9","€ 243","7"
"Hotel Lauria","7,7","€ 96","7"
"Nuria","8,1","€ 79","7"
"Astari","8,3","€ 80","7"
"Hotel Canadá","8,0","€ 76","7"
"Hotel Sant Jordi","8,6","€ 70","7"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 81","7"
"Hotel SB Express Tarragona","8,3","€ 81","7"
"Hotel Best Terramarina","8,3","€ 59","7"
"Hotel Mas La Boella","9,1","€ 208","7"
"Palas Pineda","7,8","€ 73","7"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","7"
"Estival Park","8,0","€ 82","7"
"Mercure Atenea Aventura","8,0","€ 62","7"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","7"
"PortAventura Hotel PortAventura - Includes PortAventura Park Tickets","8,4","€ 141","7"
"Medplaya Hotel Calypso","7,7","€ 69","7"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","7"
"Hotel Oasis Park","7,5","€ 53","7"
"Hotel Cala Font","7,9","€ 77","7"
"Aparthotel SunClub Salou","8,0","€ 63","7"
"PortAventura Hotel Colorado Creek - Includes PortAventura Park Tickets","8,8","€ 171","7"
"AC Hotel Tarragona by Marriott","8,4","€ 92","8"
"H10 Imperial Tarraco 4* Sup","8,9","€ 134","8"
"Tarraco Park Tarragona","7,9","€ 87","8"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","8"
"Astari","8,3","€ 80","8"
"Hotel Lauria","7,7","€ 96","8"
"Hotel SB Express Tarragona","8,3","€ 81","8"
"Hotel Canadá","8,0","€ 76","8"
"Hotel Best Terramarina","8,3","€ 68","8"
"Mercure Atenea Aventura","8,0","€ 62","8"
"Hotel Raval de la Mar","8,2","€ 68","8"
"Ohtels Vil·la Romana","8,2","€ 89","8"
"Medplaya Hotel Calypso","7,7","€ 69","8"
"Hotel Cala Font","7,9","€ 74","8"
"Aparthotel SunClub Salou","8,0","€ 68","8"
"PortAventura Hotel Colorado Creek - Includes PortAventura Park Tickets","8,8","€ 291","8"
"PortAventura Hotel PortAventura - Includes PortAventura Park Tickets","8,4","€ 276","8"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 263","8"
"PortAventura Hotel Caribe - Includes PortAventura Park Tickets","7,7","€ 253","8"
"May Altafulla Beach Boutique Hotel","9,3","€ 145","8"
"Hotel Las Vegas","8,5","€ 65","8"
"Altafulla Mar Hotel","8,7","€ 134","8"
"H10 Salou Princess","8,2","€ 60","8"
"4R Salou Park Resort I","7,0","€ 63","8"
"Hotel Gran Claustre Restaurant & Spa","8,1","€ 145","8"
"AC Hotel Tarragona by Marriott","8,4","€ 97","9"
"H10 Imperial Tarraco 4* Sup","8,9","€ 113","9"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","9"
"Tarraco Park Tarragona","7,9","€ 87","9"
"Hotel Lauria","7,7","€ 67","9"
"Astari","8,3","€ 70","9"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 58","9"
"Hotel Canadá","8,0","€ 76","9"
"Nuria","8,1","€ 89","9"
"Hotel Sant Jordi","8,6","€ 68","9"
"Hotel SB Express Tarragona","8,3","€ 81","9"
"Hotel Best Terramarina","8,3","€ 57","9"
"Hotel Mas La Boella","9,1","€ 217","9"
